Distance,NOS
2.165444895999999986e+01,3.140000000000000000e+02
1.790585334000000017e+01,8.540000000000000000e+02
2.022659846999999900e+01,1.308000000000000000e+03
1.703310519000000056e+01,7.490000000000000000e+02
1.838405154000000152e+01,6.210000000000000000e+02
1.047839208000000077e+01,2.124000000000000000e+03
7.208511552000000044e+00,2.820000000000000000e+02
7.774454960999999997e+00,7.750000000000000000e+02
1.209006890999999939e+01,4.430000000000000000e+02
3.000000118999999743e-01,2.318000000000000000e+03
3.000000118999999743e-01,3.907000000000000000e+03
2.521197958999999855e+01,2.000000000000000000e+02
2.316598468999999838e+01,5.000000000000000000e+01
1.103333695999999975e+01,9.000000000000000000e+00
2.489911886999999879e+01,3.470000000000000000e+02
2.095319725999999960e+01,3.590000000000000000e+02
2.021809328999999877e+01,1.514000000000000000e+03
2.061994729999999976e+01,1.308000000000000000e+03
2.053752568999999895e+01,1.191000000000000000e+03
1.781391267000000056e+01,1.114000000000000000e+03
1.750412310999999832e+01,8.730000000000000000e+02
8.790200052999999514e+00,6.020000000000000000e+02
8.860213226999999137e+00,6.610000000000000000e+02
1.228590022999999931e+01,7.020000000000000000e+02
3.000000118999999743e-01,2.574000000000000000e+03
2.148748622999999824e+01,6.480000000000000000e+02
2.163505479000000165e+01,7.700000000000000000e+01
1.960644218999999921e+01,6.200000000000000000e+01
2.325924374999999955e+01,8.100000000000000000e+01
2.228425916000000129e+01,8.900000000000000000e+01
2.000194944000000064e+01,7.680000000000000000e+02
2.193343933999999962e+01,8.790000000000000000e+02
2.299639767000000035e+01,5.010000000000000000e+02
2.175323217000000042e+01,7.870000000000000000e+02
2.137563760000000102e+01,1.047000000000000000e+03
1.841062602999999953e+01,3.010000000000000000e+02
1.013570024000000025e+01,1.171000000000000000e+03
1.201111191999999939e+01,3.240000000000000000e+02
3.000000118999999743e-01,3.292000000000000000e+03
2.585680872000000008e+01,5.860000000000000000e+02
2.201223574000000127e+01,1.470000000000000000e+02
2.459272666000000029e+01,1.240000000000000000e+02
2.231784762999999927e+01,2.800000000000000000e+01
2.080383902000000163e+01,2.600000000000000000e+01
1.866821768999999875e+01,7.520000000000000000e+02
2.400220892000000106e+01,2.710000000000000000e+02
2.329307664999999972e+01,5.640000000000000000e+02
2.279586297000000172e+01,9.450000000000000000e+02
2.195385174999999833e+01,8.300000000000000000e+02
1.890622976999999949e+01,4.330000000000000000e+02
2.227024740999999963e+01,1.580000000000000000e+02
3.000000118999999743e-01,2.954000000000000000e+03
2.895868643000000020e+01,6.200000000000000000e+02
2.436866148000000010e+01,1.660000000000000000e+02
2.315776668999999899e+01,2.700000000000000000e+02
2.231444162000000020e+01,1.730000000000000000e+02
1.922432244999999895e+01,2.960000000000000000e+02
1.978789008000000038e+01,1.561000000000000000e+03
2.538832628999999841e+01,7.120000000000000000e+02
2.875878413999999950e+01,6.190000000000000000e+02
2.575855243999999900e+01,5.430000000000000000e+02
3.211774702999999676e+01,1.350000000000000000e+02
2.532396787000000060e+01,1.960000000000000000e+02
3.000000118999999743e-01,4.665000000000000000e+03
3.119584713000000065e+01,4.360000000000000000e+02
2.861848618999999871e+01,3.620000000000000000e+02
3.103810216000000111e+01,1.390000000000000000e+02
2.579998202999999890e+01,3.850000000000000000e+02
2.100172590000000028e+01,5.200000000000000000e+02
2.184264431000000073e+01,9.050000000000000000e+02
3.003705470999999960e+01,5.340000000000000000e+02
3.726860824999999977e+01,1.180000000000000000e+02
3.521375484000000000e+01,2.610000000000000000e+02
4.020376095999999677e+01,7.900000000000000000e+01
3.000000118999999743e-01,2.818000000000000000e+03
2.464231673000000100e+01,4.110000000000000000e+02
3.896837551000000133e+01,5.700000000000000000e+01
3.288188743999999986e+01,9.400000000000000000e+01
2.959532523000000026e+01,8.600000000000000000e+01
2.407255049000000113e+01,2.770000000000000000e+02
2.709580624000000171e+01,4.790000000000000000e+02
3.359496649999999818e+01,1.800000000000000000e+02
3.642261701999999701e+01,1.370000000000000000e+02
4.215963291999999996e+01,1.860000000000000000e+02
3.000000118999999743e-01,4.033000000000000000e+03
2.767953623000000007e+01,3.620000000000000000e+02
